ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-06-02,69,28,41,237900,105100,132800,Tuesday,NH,W,WWW,2026-03-23 10:54:57.965902
Mount Road ATM,2015-06-02,93,66,27,447700,326500,121200,Tuesday,NH,W,WWW,2026-03-23 10:54:57.965902
Airport ATM,2015-06-02,81,61,20,541600,440600,101000,Tuesday,NH,W,WWW,2026-03-23 10:54:57.965902
KK Nagar ATM,2015-06-02,185,105,80,1197600,678000,519600,Tuesday,NH,W,WWW,2026-03-23 10:54:57.965902
Christ College ATM,2015-06-02,93,45,48,467500,231300,236200,Tuesday,NH,W,WWW,2026-03-23 10:54:57.965902
