ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-04-29,125,35,90,528200,252700,275500,SATURDAY,NH,H,WHH,2026-03-23 10:55:00.845620
Mount Road ATM,2017-04-29,43,22,21,128800,110000,18800,SATURDAY,NH,H,WHH,2026-03-23 10:55:00.845620
KK Nagar ATM,2017-04-29,165,79,86,1052500,476600,575900,SATURDAY,NH,H,WHH,2026-03-23 10:55:00.845620
Christ College ATM,2017-04-29,113,28,85,585600,230700,354900,SATURDAY,NH,H,WHH,2026-03-23 10:55:00.845620
