ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-02-18,147,59,88,647900,322300,325600,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.521992
Mount Road ATM,2016-02-18,33,19,14,131100,103300,27800,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.521992
Airport ATM,2016-02-18,109,87,22,593100,544000,49100,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.521992
KK Nagar ATM,2016-02-18,78,48,30,413300,335300,78000,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.521992
Christ College ATM,2016-02-18,143,67,76,512400,321300,191100,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.521992
