ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Airport ATM,2017-01-12,43,21,22,134600,61600,73000,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.786926
KK Nagar ATM,2017-01-12,124,51,73,316200,136600,179600,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.786926
