ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-04-04,70,19,51,246100,59100,187000,Saturday,NH,H,HHH,2026-03-23 10:54:57.493161
Mount Road ATM,2015-04-04,166,103,63,475600,338500,137100,Saturday,NH,H,HHH,2026-03-23 10:54:57.493161
Airport ATM,2015-04-04,63,47,16,289700,222000,67700,Saturday,NH,H,HHH,2026-03-23 10:54:57.493161
KK Nagar ATM,2015-04-04,70,44,26,222800,139700,83100,Saturday,NH,H,HHH,2026-03-23 10:54:57.493161
Christ College ATM,2015-04-04,102,36,66,398800,177000,221800,Saturday,NH,H,HHH,2026-03-23 10:54:57.493161
