ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-05-19,11,10,1,49400,49000,400,Tuesday,NH,W,WWW,2026-03-23 10:54:57.667166
Mount Road ATM,2015-05-19,161,98,63,644000,465400,178600,Tuesday,NH,W,WWW,2026-03-23 10:54:57.667166
Airport ATM,2015-05-19,86,67,19,554400,460600,93800,Tuesday,NH,W,WWW,2026-03-23 10:54:57.667166
KK Nagar ATM,2015-05-19,96,65,31,535900,367300,168600,Tuesday,NH,W,WWW,2026-03-23 10:54:57.667166
Christ College ATM,2015-05-19,123,65,58,557800,334800,223000,Tuesday,NH,W,WWW,2026-03-23 10:54:57.667166
