ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-03-04,113,37,76,345000,150600,194400,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.865913
Mount Road ATM,2016-03-04,106,64,42,462700,377200,85500,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.865913
Airport ATM,2016-03-04,73,60,13,348600,311900,36700,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.865913
KK Nagar ATM,2016-03-04,184,136,48,977200,800900,176300,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.865913
Christ College ATM,2016-03-04,135,71,64,800300,523700,276600,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.865913
