ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-06-08,106,33,73,398900,163600,235300,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.579862
Mount Road ATM,2017-06-08,129,47,82,647900,355000,292900,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.579862
KK Nagar ATM,2017-06-08,167,79,88,1077400,612700,464700,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.579862
Christ College ATM,2017-06-08,239,52,187,1300500,356300,944200,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.579862
