ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-03-21,134,55,79,558400,326800,231600,MONDAY,NH,W,HWW,2026-03-23 10:54:58.764892
Mount Road ATM,2016-03-21,54,31,23,265600,200800,64800,MONDAY,NH,W,HWW,2026-03-23 10:54:58.764892
Airport ATM,2016-03-21,86,59,27,328800,197900,130900,MONDAY,NH,W,HWW,2026-03-23 10:54:58.764892
KK Nagar ATM,2016-03-21,118,86,32,736200,603400,132800,MONDAY,NH,W,HWW,2026-03-23 10:54:58.764892
Christ College ATM,2016-03-21,146,74,72,740600,484900,255700,MONDAY,NH,W,HWW,2026-03-23 10:54:58.764892
