ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-06-15,131,39,92,499300,196600,302700,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:59.567506
Mount Road ATM,2016-06-15,10,10,0,50800,50800,0,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:59.567506
Airport ATM,2016-06-15,63,45,18,276800,216000,60800,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:59.567506
KK Nagar ATM,2016-06-15,47,35,12,291500,231100,60400,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:59.567506
Christ College ATM,2016-06-15,138,69,69,743600,459900,283700,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:59.567506
