ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-01-25,101,25,76,266400,104000,162400,Sunday,NH,H,HHH,2026-03-23 10:54:56.760633
Mount Road ATM,2015-01-25,80,37,43,251500,152200,99300,Sunday,NH,H,HHH,2026-03-23 10:54:56.760633
Airport ATM,2015-01-25,80,59,21,317100,257000,60100,Sunday,NH,H,HHH,2026-03-23 10:54:56.760633
KK Nagar ATM,2015-01-25,95,59,36,313400,165900,147500,Sunday,NH,H,HHH,2026-03-23 10:54:56.760633
Christ College ATM,2015-01-25,94,40,54,329200,134600,194600,Sunday,NH,H,HHH,2026-03-23 10:54:56.760633
