ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Airport ATM,2017-01-14,46,17,29,104500,34000,70500,SATURDAY,H,H,WHH,2026-03-23 10:54:59.800655
KK Nagar ATM,2017-01-14,20,4,16,33000,3700,29300,SATURDAY,H,H,WHH,2026-03-23 10:54:59.800655
