ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-06-17,90,28,62,314500,175800,138700,Wednesday,NH,W,WWW,2026-03-23 10:54:57.945968
Mount Road ATM,2015-06-17,136,92,44,507800,413100,94700,Wednesday,NH,W,WWW,2026-03-23 10:54:57.945968
Airport ATM,2015-06-17,70,60,10,315100,298900,16200,Wednesday,NH,W,WWW,2026-03-23 10:54:57.945968
KK Nagar ATM,2015-06-17,100,81,19,588200,516100,72100,Wednesday,NH,W,WWW,2026-03-23 10:54:57.945968
Christ College ATM,2015-06-17,113,45,68,573900,282000,291900,Wednesday,NH,W,WWW,2026-03-23 10:54:57.945968
