ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-05-20,120,28,92,508200,206000,302200,SATURDAY,NH,H,WHH,2026-03-23 10:55:01.054757
Mount Road ATM,2017-05-20,68,19,49,104000,53500,50500,SATURDAY,NH,H,WHH,2026-03-23 10:55:01.054757
Airport ATM,2017-05-20,21,15,6,48600,40100,8500,SATURDAY,NH,H,WHH,2026-03-23 10:55:01.054757
KK Nagar ATM,2017-05-20,54,40,14,434400,366700,67700,SATURDAY,NH,H,WHH,2026-03-23 10:55:01.054757
Christ College ATM,2017-05-20,277,61,216,1307800,378500,929300,SATURDAY,NH,H,WHH,2026-03-23 10:55:01.054757
