ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-06-25,99,16,83,213200,38200,175000,SUNDAY,NH,H,HHH,2026-03-23 10:55:01.442281
Mount Road ATM,2017-06-25,31,20,11,83400,77300,6100,SUNDAY,NH,H,HHH,2026-03-23 10:55:01.442281
Airport ATM,2017-06-25,4,4,0,12100,12100,0,SUNDAY,NH,H,HHH,2026-03-23 10:55:01.442281
KK Nagar ATM,2017-06-25,20,16,4,92200,82100,10100,SUNDAY,NH,H,HHH,2026-03-23 10:55:01.442281
Christ College ATM,2017-06-25,131,29,102,455200,199300,255900,SUNDAY,NH,H,HHH,2026-03-23 10:55:01.442281
