ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-02-07,112,36,76,350300,149000,201300,Saturday,NH,H,WHH,2026-03-23 10:54:57.053122
Mount Road ATM,2015-02-07,198,126,72,865900,598500,267400,Saturday,NH,H,WHH,2026-03-23 10:54:57.053122
Airport ATM,2015-02-07,167,117,50,1228000,973100,254900,Saturday,NH,H,WHH,2026-03-23 10:54:57.053122
KK Nagar ATM,2015-02-07,112,76,36,523100,348000,175100,Saturday,NH,H,WHH,2026-03-23 10:54:57.053122
Christ College ATM,2015-02-07,144,70,74,676000,354600,321400,Saturday,NH,H,WHH,2026-03-23 10:54:57.053122
