ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-03-18,119,42,77,441200,279100,162100,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.738586
Airport ATM,2016-03-18,125,90,35,608700,504300,104400,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.738586
Christ College ATM,2016-03-18,103,54,49,462500,254500,208000,FRIDAY,NH,W,WWH,2026-03-23 10:54:58.738586
