ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-01-18,129,43,86,406900,148100,258800,MONDAY,NH,W,HWW,2026-03-23 10:54:58.216938
Airport ATM,2016-01-18,76,53,23,391400,319600,71800,MONDAY,NH,W,HWW,2026-03-23 10:54:58.216938
KK Nagar ATM,2016-01-18,36,23,13,151300,101900,49400,MONDAY,NH,W,HWW,2026-03-23 10:54:58.216938
Christ College ATM,2016-01-18,129,56,73,479400,195800,283600,MONDAY,NH,W,HWW,2026-03-23 10:54:58.216938
