ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-04-19,114,45,69,445200,261400,183800,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.670490
Mount Road ATM,2017-04-19,74,24,50,229200,92800,136400,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.670490
KK Nagar ATM,2017-04-19,97,58,39,553600,404900,148700,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.670490
Christ College ATM,2017-04-19,2,2,0,5100,5100,0,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.670490
