ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-04-12,163,53,110,632300,337100,295200,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.923890
Mount Road ATM,2016-04-12,47,32,15,179700,114900,64800,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.923890
Airport ATM,2016-04-12,51,42,9,332100,313900,18200,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.923890
KK Nagar ATM,2016-04-12,60,45,15,350500,319100,31400,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.923890
Christ College ATM,2016-04-12,151,83,68,773100,518900,254200,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.923890
