ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-02-01,128,37,91,412700,127300,285400,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.070444
Mount Road ATM,2017-02-01,15,6,9,99600,70000,29600,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.070444
Airport ATM,2017-02-01,64,36,28,339000,244700,94300,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.070444
KK Nagar ATM,2017-02-01,37,17,20,220100,106600,113500,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.070444
Christ College ATM,2017-02-01,313,75,238,1909500,436900,1472600,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.070444
