ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-03-26,108,42,66,404100,219200,184900,Thursday,NH,W,WWW,2026-03-23 10:54:57.193482
Mount Road ATM,2015-03-26,152,104,48,591600,487900,103700,Thursday,NH,W,WWW,2026-03-23 10:54:57.193482
Airport ATM,2015-03-26,97,76,21,532800,493600,39200,Thursday,NH,W,WWW,2026-03-23 10:54:57.193482
KK Nagar ATM,2015-03-26,89,72,17,360000,314300,45700,Thursday,NH,W,WWW,2026-03-23 10:54:57.193482
Christ College ATM,2015-03-26,106,44,62,496000,235300,260700,Thursday,NH,W,WWW,2026-03-23 10:54:57.193482
