ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-05-01,129,29,100,451500,118400,333100,MONDAY,N,H,HHW,2026-03-23 10:55:00.930352
Mount Road ATM,2017-05-01,34,6,28,65500,37000,28500,MONDAY,N,H,HHW,2026-03-23 10:55:00.930352
KK Nagar ATM,2017-05-01,82,47,35,502300,349700,152600,MONDAY,N,H,HHW,2026-03-23 10:55:00.930352
Christ College ATM,2017-05-01,267,38,229,1251800,225100,1026700,MONDAY,N,H,HHW,2026-03-23 10:55:00.930352
