ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-02-17,134,64,70,366700,244000,122700,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:58.515262
Mount Road ATM,2016-02-17,38,16,22,192600,99400,93200,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:58.515262
Airport ATM,2016-02-17,100,87,13,595100,555200,39900,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:58.515262
KK Nagar ATM,2016-02-17,190,123,67,1137000,859100,277900,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:58.515262
Christ College ATM,2016-02-17,160,71,89,795500,435800,359700,WEDNESDAY,NH,W,WWW,2026-03-23 10:54:58.515262
