ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-02-27,78,21,57,203300,59400,143900,MONDAY,NH,W,HWW,2026-03-23 10:55:00.203801
Mount Road ATM,2017-02-27,124,45,79,394600,214100,180500,MONDAY,NH,W,HWW,2026-03-23 10:55:00.203801
Airport ATM,2017-02-27,4,3,1,4000,3500,500,MONDAY,NH,W,HWW,2026-03-23 10:55:00.203801
KK Nagar ATM,2017-02-27,62,41,21,464300,384700,79600,MONDAY,NH,W,HWW,2026-03-23 10:55:00.203801
Christ College ATM,2017-02-27,70,22,48,362600,152600,210000,MONDAY,NH,W,HWW,2026-03-23 10:55:00.203801
