ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-03-31,122,42,80,511600,206700,304900,Tuesday,NH,W,WWW,2026-03-23 10:54:57.231012
Mount Road ATM,2015-03-31,201,136,65,811800,621200,190600,Tuesday,NH,W,WWW,2026-03-23 10:54:57.231012
Airport ATM,2015-03-31,130,100,30,928900,801700,127200,Tuesday,NH,W,WWW,2026-03-23 10:54:57.231012
KK Nagar ATM,2015-03-31,109,91,18,777700,682000,95700,Tuesday,NH,W,WWW,2026-03-23 10:54:57.231012
Christ College ATM,2015-03-31,89,45,44,452700,203800,248900,Tuesday,NH,W,WWW,2026-03-23 10:54:57.231012
