ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-06-22,127,38,89,491900,219200,272700,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.404034
Mount Road ATM,2017-06-22,53,22,31,123500,98400,25100,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.404034
Airport ATM,2017-06-22,6,5,1,35600,30600,5000,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.404034
KK Nagar ATM,2017-06-22,92,60,32,568700,439400,129300,THURSDAY,NH,W,WWW,2026-03-23 10:55:01.404034
