ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-01-07,131,43,88,494700,223000,271700,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.441391
Airport ATM,2016-01-07,19,17,2,69700,65200,4500,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.441391
KK Nagar ATM,2016-01-07,138,95,43,912200,737200,175000,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.441391
Christ College ATM,2016-01-07,169,91,78,795700,555800,239900,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.441391
