ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-04-21,119,50,69,598000,339000,259000,Tuesday,NH,W,WWW,2026-03-23 10:54:57.376032
Mount Road ATM,2015-04-21,200,114,86,1042600,711200,331400,Tuesday,NH,W,WWW,2026-03-23 10:54:57.376032
Airport ATM,2015-04-21,86,65,21,440600,374300,66300,Tuesday,NH,W,WWW,2026-03-23 10:54:57.376032
KK Nagar ATM,2015-04-21,48,32,16,175400,111100,64300,Tuesday,NH,W,WWW,2026-03-23 10:54:57.376032
Christ College ATM,2015-04-21,118,69,49,468700,266700,202000,Tuesday,NH,W,WWW,2026-03-23 10:54:57.376032
