ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-05-28,98,31,67,271200,102800,168400,SUNDAY,NH,H,HHW,2026-03-23 10:55:01.136290
Mount Road ATM,2017-05-28,69,14,55,228700,57000,171700,SUNDAY,NH,H,HHW,2026-03-23 10:55:01.136290
Airport ATM,2017-05-28,50,30,20,305400,254500,50900,SUNDAY,NH,H,HHW,2026-03-23 10:55:01.136290
KK Nagar ATM,2017-05-28,218,106,112,1092400,615700,476700,SUNDAY,NH,H,HHW,2026-03-23 10:55:01.136290
Christ College ATM,2017-05-28,42,13,29,116200,40300,75900,SUNDAY,NH,H,HHW,2026-03-23 10:55:01.136290
