ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-02-04,134,44,90,588600,299000,289600,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.620743
Mount Road ATM,2016-02-04,149,82,67,772100,483900,288200,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.620743
Airport ATM,2016-02-04,22,11,11,95400,38700,56700,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.620743
KK Nagar ATM,2016-02-04,123,100,23,851500,749800,101700,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.620743
Christ College ATM,2016-02-04,147,79,68,731100,448800,282300,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.620743
