ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-03-22,127,37,90,467500,235100,232400,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.770797
Mount Road ATM,2016-03-22,48,32,16,191300,146700,44600,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.770797
Airport ATM,2016-03-22,63,52,11,267800,248900,18900,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.770797
KK Nagar ATM,2016-03-22,73,63,10,489600,448700,40900,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.770797
Christ College ATM,2016-03-22,129,58,71,650000,385000,265000,TUESDAY,NH,W,WWW,2026-03-23 10:54:58.770797
