ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-03-29,107,40,67,515400,330300,185100,WEDNESDAY,N,H,WHW,2026-03-23 10:55:00.527636
Mount Road ATM,2017-03-29,140,57,83,461300,261800,199500,WEDNESDAY,N,H,WHW,2026-03-23 10:55:00.527636
KK Nagar ATM,2017-03-29,190,116,74,1260700,889200,371500,WEDNESDAY,N,H,WHW,2026-03-23 10:55:00.527636
Christ College ATM,2017-03-29,227,60,167,1023000,466200,556800,WEDNESDAY,N,H,WHW,2026-03-23 10:55:00.527636
