ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-06-21,112,36,76,418400,183600,234800,TUESDAY,NH,W,WWW,2026-03-23 10:54:59.613075
Airport ATM,2016-06-21,43,32,11,194900,169900,25000,TUESDAY,NH,W,WWW,2026-03-23 10:54:59.613075
KK Nagar ATM,2016-06-21,93,64,29,576100,428500,147600,TUESDAY,NH,W,WWW,2026-03-23 10:54:59.613075
Christ College ATM,2016-06-21,121,64,57,564800,372000,192800,TUESDAY,NH,W,WWW,2026-03-23 10:54:59.613075
