ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-05-29,125,46,79,485800,272800,213000,SUNDAY,NH,H,HHW,2026-03-23 10:54:59.418061
KK Nagar ATM,2016-05-29,90,69,21,435800,351000,84800,SUNDAY,NH,H,HHW,2026-03-23 10:54:59.418061
