ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-06-02,157,39,118,728200,173900,554300,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.600787
Mount Road ATM,2016-06-02,82,73,9,558800,527300,31500,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.600787
KK Nagar ATM,2016-06-02,67,46,21,294200,208800,85400,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.600787
Christ College ATM,2016-06-02,198,79,119,1214200,562200,652000,THURSDAY,NH,W,WWW,2026-03-23 10:54:59.600787
