ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-01-17,1,1,0,500,500,0,TUESDAY,NH,W,HWW,2026-03-23 10:54:59.820350
Airport ATM,2017-01-17,86,27,59,350600,120500,230100,TUESDAY,NH,W,HWW,2026-03-23 10:54:59.820350
KK Nagar ATM,2017-01-17,16,8,8,61400,40300,21100,TUESDAY,NH,W,HWW,2026-03-23 10:54:59.820350
