ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-05-16,54,21,33,217000,100000,117000,TUESDAY,NH,W,WWW,2026-03-23 10:55:00.993620
Mount Road ATM,2017-05-16,85,35,50,270500,109400,161100,TUESDAY,NH,W,WWW,2026-03-23 10:55:00.993620
KK Nagar ATM,2017-05-16,62,46,16,354600,264200,90400,TUESDAY,NH,W,WWW,2026-03-23 10:55:00.993620
