ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-06-03,116,38,78,414500,138900,275600,Wednesday,NH,W,WWW,2026-03-23 10:54:58.080698
Mount Road ATM,2015-06-03,175,92,83,933700,601500,332200,Wednesday,NH,W,WWW,2026-03-23 10:54:58.080698
Airport ATM,2015-06-03,104,76,28,576800,467600,109200,Wednesday,NH,W,WWW,2026-03-23 10:54:58.080698
KK Nagar ATM,2015-06-03,176,95,81,1138900,628700,510200,Wednesday,NH,W,WWW,2026-03-23 10:54:58.080698
Christ College ATM,2015-06-03,145,58,87,731900,271000,460900,Wednesday,NH,W,WWW,2026-03-23 10:54:58.080698
