ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Mount Road ATM,2016-03-03,52,34,18,324900,279700,45200,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.846843
Airport ATM,2016-03-03,85,63,22,443800,354400,89400,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.846843
KK Nagar ATM,2016-03-03,97,68,29,737000,573900,163100,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.846843
Christ College ATM,2016-03-03,137,65,72,742200,427600,314600,THURSDAY,NH,W,WWW,2026-03-23 10:54:58.846843
