ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-01-30,75,30,45,228800,102300,126500,MONDAY,NH,W,HWW,2026-03-23 10:54:59.982439
Mount Road ATM,2017-01-30,43,9,34,206900,44000,162900,MONDAY,NH,W,HWW,2026-03-23 10:54:59.982439
Airport ATM,2017-01-30,25,12,13,48800,24700,24100,MONDAY,NH,W,HWW,2026-03-23 10:54:59.982439
KK Nagar ATM,2017-01-30,46,31,15,172800,148300,24500,MONDAY,NH,W,HWW,2026-03-23 10:54:59.982439
Christ College ATM,2017-01-30,133,23,110,487500,86100,401400,MONDAY,NH,W,HWW,2026-03-23 10:54:59.982439
