ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-03-28,55,16,39,173100,75900,97200,MONDAY,NH,W,HWW,2026-03-23 10:54:58.834
Mount Road ATM,2016-03-28,19,14,5,83100,62600,20500,MONDAY,NH,W,HWW,2026-03-23 10:54:58.834
Airport ATM,2016-03-28,36,26,10,330000,293700,36300,MONDAY,NH,W,HWW,2026-03-23 10:54:58.834
KK Nagar ATM,2016-03-28,154,107,47,975500,725000,250500,MONDAY,NH,W,HWW,2026-03-23 10:54:58.834
Christ College ATM,2016-03-28,137,76,61,592600,440500,152100,MONDAY,NH,W,HWW,2026-03-23 10:54:58.834
