ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Airport ATM,2017-01-13,48,14,34,101400,22000,79400,FRIDAY,NH,W,WWW,2026-03-23 10:54:59.793848
KK Nagar ATM,2017-01-13,58,39,19,122900,85800,37100,FRIDAY,NH,W,WWW,2026-03-23 10:54:59.793848
