ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2016-04-17,118,30,88,376800,136800,240000,SUNDAY,NH,H,HHW,2026-03-23 10:54:58.956613
Airport ATM,2016-04-17,69,55,14,302400,286800,15600,SUNDAY,NH,H,HHW,2026-03-23 10:54:58.956613
KK Nagar ATM,2016-04-17,100,74,26,349300,283700,65600,SUNDAY,NH,H,HHW,2026-03-23 10:54:58.956613
Christ College ATM,2016-04-17,4,2,2,900,300,600,SUNDAY,NH,H,HHW,2026-03-23 10:54:58.956613
