ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-06-13,120,24,96,503600,166200,337400,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.288379
Mount Road ATM,2017-06-13,84,33,51,156800,121400,35400,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.288379
KK Nagar ATM,2017-06-13,96,55,41,537800,292600,245200,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.288379
Christ College ATM,2017-06-13,204,62,142,1067500,439700,627800,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.288379
