ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Mount Road ATM,2017-02-22,187,65,122,520600,256200,264400,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.171101
Airport ATM,2017-02-22,132,71,61,537400,348300,189100,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.171101
KK Nagar ATM,2017-02-22,22,8,14,137600,60400,77200,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.171101
Christ College ATM,2017-02-22,166,49,117,661100,264800,396300,WEDNESDAY,NH,W,WWW,2026-03-23 10:55:00.171101
