ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2017-05-09,127,42,85,596100,320000,276100,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.254346
Mount Road ATM,2017-05-09,38,18,20,106700,62800,43900,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.254346
Airport ATM,2017-05-09,133,75,58,767900,517000,250900,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.254346
KK Nagar ATM,2017-05-09,53,24,29,193200,95700,97500,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.254346
Christ College ATM,2017-05-09,202,52,150,1115600,394600,721000,TUESDAY,NH,W,WWW,2026-03-23 10:55:01.254346
