ATM Name,Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Processed_Time
Big Street ATM,2015-05-14,88,24,64,230900,46200,184700,Thursday,NH,W,WWW,2026-03-23 10:54:57.608205
Mount Road ATM,2015-05-14,140,87,53,585400,451200,134200,Thursday,NH,W,WWW,2026-03-23 10:54:57.608205
Airport ATM,2015-05-14,7,7,0,18600,18600,0,Thursday,NH,W,WWW,2026-03-23 10:54:57.608205
KK Nagar ATM,2015-05-14,89,63,26,412800,291700,121100,Thursday,NH,W,WWW,2026-03-23 10:54:57.608205
Christ College ATM,2015-05-14,101,43,58,312600,137800,174800,Thursday,NH,W,WWW,2026-03-23 10:54:57.608205
